"Attribution: Attribution Number","Opportunity: Opportunity Name","Opportunity: Account Name","Partner Net ARR (converted) Currency","Partner Net ARR (converted)","Opportunity: Net ARR Atlas (Commission) Currency","Opportunity: Net ARR Atlas (Commission)","Opportunity: Net ARR Non-Atlas (Commission) (converted) Currency","Opportunity: Net ARR Non-Atlas (Commission) (converted)","Opportunity: zzDeprecate-Owner Area Group","Opportunity: zzDeprecate-Owner Regional Group","Partner","Split %","Role","Opportunity: Close Date","Opportunity: Fiscal Period","Opportunity: Stage","Status","Attribution: Created Date","Opportunity: Created Date"
"A-0562195","Intel Corporation Intel Device Health (IDH) - CCG - Renewal - Run Rate - FY27-Q2","Intel Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Accenture LLP","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562741","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries DataHub - Renewal - Run Rate - FY27-Q2","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0574438","Vubiquity, Inc. DETE - Renewal","Vubiquity, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","5/31/2026","Q2-2027","Research","Pending Approval","8/5/2025","8/5/2025"
"A-0574975","Delta Air Lines, Inc. FDM - Renewal","Delta Air Lines, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Accenture LLP","15.00","Influencing","5/31/2026","Q2-2027","Research","Pending Approval","8/5/2025","8/5/2025"
"A-0574829","CDW LLC CDW - Sales Productivity Suite - Renewal","CDW LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","Central","Accenture LLP","35.00","Strategic","6/30/2026","Q2-2027","Research","Pending Approval","8/5/2025","8/5/2025"
"A-0578092","M&T Bank M&T XREF - Renewal - Run Rate - FY27-Q2","M&T Bank","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/13/2025","8/13/2025"
"A-0593602","Vubiquity, Inc. DETE - Renewal","Vubiquity, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","15.00","Influencing","5/31/2026","Q2-2027","Research","Pending Approval","10/10/2025","8/5/2025"
"A-0593605","Vubiquity, Inc. DETE - Renewal - Run Rate - FY27-Q2","Vubiquity, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","10/10/2025","8/2/2025"
"A-0607790","Cigna Corporate Services, LLC Cigna - Renewal - Run Rate - FY27-Q3","Cigna Corporate Services, LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Accenture LLP","0.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Rejected","11/2/2025","11/2/2025"
"A-0608307","M&T Bank M&T XREF - Renewal - Run Rate - FY27-Q3","M&T Bank","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0607935","TIAA - Atlas 2026 Renewal - Flex Commit - Run Rate - FY27-Q3","Teachers Insurance and Annuity Association College Retirement Equities Fund","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Accenture LLP","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0608165","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries DataHub - Renewal - Run Rate - FY27-Q3","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0607611","Intel Corporation Intel Device Health (IDH) - CCG - Renewal - Run Rate - FY27-Q3","Intel Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Accenture LLP","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0609312","Alaska Airlines, Inc. Digital Airline Platform - Renewal - Run Rate - FY27-Q3","Alaska Airlines, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0620711","Intel Corporation TapeOut (EA) - Renewal","Intel Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Accenture LLP","15.00","Influencing","9/14/2026","Q3-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0621142","M&T Bank M&T XREF - Renewal","M&T Bank","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","9/11/2026","Q3-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0621974","Best Buy Co., Inc. EA Deployment - Renewal","Best Buy Co., Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Deep North","Accenture LLP","35.00","Strategic","10/14/2026","Q3-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0622353","Intel Corporation Intel Device Health (IDH) - CCG - Renewal","Intel Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Accenture LLP","15.00","Influencing","10/31/2026","Q3-2027","Research","Pending Approval","11/4/2025","11/4/2025"
"A-0622360","Centene Corporation Centene Corporation - UMV - Renewal","Centene Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","Central","Accenture LLP","15.00","Influencing","10/30/2026","Q3-2027","Research","Pending Approval","11/4/2025","11/4/2025"
"A-0649418","Alaska Airlines, Inc. Digital Airline Platform - Renewal - Run Rate - FY27-Q4","Alaska Airlines, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0648053","TIAA - Atlas 2026 Renewal - Flex Commit - Run Rate - FY27-Q4","Teachers Insurance and Annuity Association College Retirement Equities Fund","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Accenture LLP","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0648283","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries DataHub - Renewal - Run Rate - FY27-Q4","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0701230","Stellarus, LLC EA renewal - Renewal","Stellarus, LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Accenture LLP","23.33","Strategic","12/21/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0690264","UBS Business Solutions AG, UK Branch TDX - TradeStore - Renewal","UBS Business Solutions AG, UK Branch","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I II","Accenture LLP","35.00","Strategic","10/31/2026","Q3-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0700992","S&P Global, Inc. S&P DJI Compliance and Audit Data Lake, S&P Dow Jones Indices - Renewal","S&P Global, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","East II","Accenture LLP","15.00","Influencing","12/31/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0702316","Teachers Insurance and Annuity Association College Retirement Equities Fund TIAA - 2025 Atlas Renewa - Renewal","Teachers Insurance and Annuity Association College Retirement Equities Fund","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Accenture LLP","35.00","Strategic","1/31/2027","Q4-2027","Research","Approved","2/4/2026","2/4/2026"
"A-0475087","Department for Work and Pensions Tech Debt Remediation - Renewal","Department for Work and Pensions","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I I","Accenture LLP","15.00","Influencing","1/31/2027","Q4-2027","Research","Pending Approval","2/13/2025","2/4/2024"
"A-0609210","Saudia - Atlas Ent Azure MP opp - Run Rate - FY27-Q3","Saudi Arabian Airlines Corporation","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture Middle East","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0640759","Saudia - Atlas Ent Azure MP opp - Run Rate - FY27-Q1","Saudi Arabian Airlines Corporation","USD","0.00","","","USD","0.00","EMEA","EMEA PubSec","Accenture Middle East","0.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Rejected","1/29/2026","9/10/2025"
"A-0640760","Saudia - Atlas Ent Azure MP opp - Run Rate - FY27-Q2","Saudi Arabian Airlines Corporation","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture Middle East","0.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Rejected","1/29/2026","9/10/2025"
"A-0640761","Saudi Arabian Airlines Corporation Saudia - CAR - Renewal","Saudi Arabian Airlines Corporation","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture Middle East","0.00","Strategic","10/31/2026","Q3-2027","Research","Rejected","1/29/2026","11/4/2025"
"A-0649302","Saudia - Atlas Ent Azure MP opp - Run Rate - FY27-Q4","Saudi Arabian Airlines Corporation","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture Middle East","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0536388","Santander Consumer Finance, S.A. SCF Germany - Kredit - Renewal","Santander Consumer Finance, S.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","Iberia","Accenture, S.L.","15.00","Influencing","4/30/2026","Q1-2027","Negotiate","Pending Approval","5/7/2025","5/7/2025"
"A-0536694","Banco Santander, S.A. Corporate Centre - Renewal","Banco Santander, S.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","Iberia","Accenture, S.L.","15.00","Influencing","4/30/2026","Q1-2027","Negotiate","Pending Approval","5/7/2025","5/7/2025"
"A-0701372","Banco Santander Totta, S.A. Integración ECM - Renewal","Banco Santander Totta, S.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","Iberia","Accenture, S.L.","35.00","Strategic","12/31/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0620643","Accenture LLP ALC - Renewal","Accenture LLP","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Private Limited","35.00","Strategic","8/14/2026","Q3-2027","Research","Approved","11/3/2025","11/3/2025"
"A-0451952","Proquire LLC MyWizard - Renewal_11_30_2025_Prod&NonProd","Proquire LLC","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Pvt Limited","35.00","Strategic","2/1/2026","Q1-2027","Scope","Pending Approval","2/3/2025","2/3/2025"
"A-0451956","Proquire LLC MyWizard - Renewal -MYC MT - EU & MYC MT - 30th Nov 2025","Proquire LLC","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Pvt Limited","35.00","Strategic","2/1/2026","Q1-2027","Research","Pending Approval","2/3/2025","2/3/2025"
"A-0451954","Proquire LLC MyWizard - Renewal_JantoDec2026","Proquire LLC","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Pvt Limited","0.00","Strategic","2/1/2026","Q1-2027","Research","Rejected","2/3/2025","2/3/2025"
"A-0535671","Proquire LLC MyWizard - Renewal_Apr26toMar27","Proquire LLC","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Pvt Limited","15.00","Influencing","3/31/2026","Q1-2027","Research","Pending Approval","5/7/2025","5/7/2025"
"A-0536397","Proquire LLC MyWizard - Renewal","Proquire LLC","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Pvt Limited","15.00","Influencing","4/14/2026","Q1-2027","Research","Pending Approval","5/7/2025","5/7/2025"
"A-0628768","Proquire LLC MyWizard - Renewal_JantoDec2026","Proquire LLC","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture Solutions Pvt Limited","15.00","Influencing","2/1/2026","Q1-2027","Research","Pending Approval","12/3/2025","2/3/2025"
"A-0709315","Addl PS - Digital Revamp Project","Bank of Baroda","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","Accenture Solutions Pvt Limited","0.00","Reseller","3/6/2026","Q1-2027","Closed Lost","Approved","2/17/2026","12/23/2025"
"A-0256554","Intesa Sanpaolo SpA Intesa Copy banking - Renewal","Intesa Sanpaolo SpA","USD","0.00","EUR","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","12/31/2026","Q4-2027","Discovery","Pending Approval","2/4/2024","2/4/2024"
"A-0256901","GSE - Gestore Servizi Energetici Spa Sistema Documentale - Renewal","GSE - Gestore Servizi Energetici Spa","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","12/30/2026","Q4-2027","Research","Pending Approval","2/4/2024","2/4/2024"
"A-0257459","Intesa Sanpaolo SpA Where is My Trade, Intesa Sanpaolo Group Services - WIMT - Renewal","Intesa Sanpaolo SpA","USD","0.00","EUR","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","12/31/2026","Q4-2027","Research","Pending Approval","2/4/2024","2/4/2024"
"A-0453496","Terna Rete Italia SpA SCCT - Renewal -SCCT Fase 1- Jan2027","Terna Rete Italia SpA","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","1/31/2027","Q4-2027","Research","Pending Approval","2/4/2025","2/4/2025"
"A-0524160","Snam S.p.A. SNAM - DBAsaService. Documentale.Telediagnostica impianti trattamento. Impatto ope... - Run Rate - FY27-Q1","Snam S.p.A.","USD","0.00","","","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Rejected","5/2/2025","5/2/2025"
"A-0518966","Noovle S.p.A. Attivatore Unico - Renewal - Run Rate - FY27-Q1","Noovle S.p.A.","USD","0.00","","","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0523268","Mooney SpA Sisalpay - Renewal - Run Rate - FY27-Q1","Mooney SpA","USD","0.00","","","USD","0.00","EMEA","EMEA","Accenture S.p.A.","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0524896","Eniplenitude CRM forecast, Digital Acceleration, Digital Decoupling Layer- Renewal Yr 2 - Run Rate - FY27-Q1","Eniplenitude","USD","0.00","","","USD","0.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0535023","Mooney SpA Sisalpay - Renewal","Mooney SpA","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA","Accenture S.p.A.","15.00","Influencing","3/31/2026","Q1-2027","Research","Pending Approval","5/7/2025","5/7/2025"
"A-0535358","Accenture S.p.A. ACIC GenAI - Renewal","Accenture S.p.A.","USD","0.00","USD","0.00","USD","0.00","Global","Global","Accenture S.p.A.","15.00","Influencing","2/1/2026","Q1-2027","Research","Pending Approval","5/7/2025","5/7/2025"
"A-0535083","Noovle S.p.A. Attivatore Unico - Renewal","Noovle S.p.A.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","3/25/2026","Q1-2027","Closed Lost","Approved","5/7/2025","5/7/2025"
"A-0535626","Noovle S.p.A. O2C Renewal 2026","Noovle S.p.A.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","2/6/2026","Q1-2027","Closed Won","Approved","5/7/2025","5/7/2025"
"A-0536612","Accenture Financial Advanced Solutions & Technology S.r.l. Afast - Copybanking - Migrate - Sprint - Renewal","Accenture Financial Advanced Solutions & Technology S.r.l.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","2/25/2026","Q1-2027","Closed Won","Approved","5/7/2025","5/7/2025"
"A-0546878","Fincantieri SpA - StreamingDati FDP - Select Classic","Fincantieri SpA","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","3/18/2026","Q1-2027","Closed Lost","Approved","6/26/2025","6/6/2025"
"A-0546881","INPS - DB Unico Pensioni - Select - Classic","INPS","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","15.00","Influencing","4/15/2026","Q1-2027","Scope","Approved","6/26/2025","4/29/2025"
"A-0557248","CNH Industrial spa EDP - Renewal - Run Rate - FY27-Q2","CNH Industrial spa","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0557263","Corte dei Conti Renewal - Run Rate - FY27-Q2","Corte dei Conti","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0558492","Avvocatura Dello Stato Migrazione Alfresco - Renewal - Run Rate - FY27-Q2","Avvocatura Dello Stato","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0563031","Vodafone Italia Spa App MyVodafone, DXL Atlas Migration - Renewal - Run Rate - FY27-Q2","Vodafone Italia Spa","USD","0.00","EUR","0.00","USD","0.00","EMEA","UK&I I","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0558986","Noovle S.p.A. CCC-Migration-Factory-Project - Renewal - Run Rate - FY27-Q2","Noovle S.p.A.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0558989","Noovle S.p.A. Convergenza - Renewal - Run Rate - FY27-Q2","Noovle S.p.A.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","0.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Rejected","8/2/2025","8/2/2025"
"A-0558573","CAP Holding S.p.A. CAP Holding Digital Platform - Renewal - Run Rate - FY27-Q2","CAP Holding S.p.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0564910","Eniplenitude CRM forecast, Digital Acceleration, Digital Decoupling Layer- Renewal Yr 2 - Run Rate - FY27-Q2","Eniplenitude","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0564179","Snam S.p.A. SNAM - DBAsaService. Documentale.Telediagnostica impianti trattamento. Impatto ope... - Run Rate - FY27-Q2","Snam S.p.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0564763","Ministero dei Trasporti MaaS - Renewal - Run Rate - FY27-Q2","Ministero dei Trasporti","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0575148","Ministero dei Trasporti MaaS - Renewal","Ministero dei Trasporti","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","5/31/2026","Q2-2027","Discovery","Pending Approval","8/5/2025","8/5/2025"
"A-0575765","TI Trust Technologies Dematerializzazione documenti - Renewal","TI Trust Technologies","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Discovery","Pending Approval","8/5/2025","8/5/2025"
"A-0589530","NWL - FS Technology - Filenet Replace - Replace - Classic","FS Technology","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","4/17/2026","Q1-2027","Discovery","Approved","10/2/2025","10/2/2025"
"A-0604299","Noovle S.p.A. CCC-Migration-Factory-Project - Renewal - Run Rate - FY27-Q3","Noovle S.p.A.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0603805","Avvocatura Dello Stato Migrazione Alfresco - Renewal - Run Rate - FY27-Q3","Avvocatura Dello Stato","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0602509","Corte dei Conti Renewal - Run Rate - FY27-Q3","Corte dei Conti","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0602492","CNH Industrial spa EDP - Renewal - Run Rate - FY27-Q3","CNH Industrial spa","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0609727","Snam S.p.A. SNAM - DBAsaService. Documentale.Telediagnostica impianti trattamento. Impatto ope... - Run Rate - FY27-Q3","Snam S.p.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0610496","Eniplenitude CRM forecast, Digital Acceleration, Digital Decoupling Layer- Renewal Yr 2 - Run Rate - FY27-Q3","Eniplenitude","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0608483","Vodafone Italia Spa App MyVodafone, DXL Atlas Migration - Renewal - Run Rate - FY27-Q3","Vodafone Italia Spa","USD","0.00","EUR","0.00","USD","0.00","EMEA","UK&I I","Accenture S.p.A.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0620458","CAP Holding S.p.A. CAP Holding Digital Platform - Renewal","CAP Holding S.p.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","7/31/2026","Q2-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0620701","Corte dei Conti Corte dei Conti - Renewal","Corte dei Conti","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","8/31/2026","Q3-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0621488","Terna Rete Italia SpA 2024 framework agreement projects, Nuovi dati del metering UPNR - Renewal","Terna - Rete Elettrica Nazionale S.p.A","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","0.00","Strategic","3/2/2026","Q1-2027","Closed Won","Rejected","11/3/2025","11/3/2025"
"A-0625638","Fincantieri SpA- PS - FDP","Fincantieri SpA","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","6/11/2026","Q2-2027","Scope","Pending Approval","11/20/2025","7/20/2025"
"A-0625917","AMP - Generali Italia - FGVS","Accenture Italia","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","2/28/2026","Q1-2027","Scope","Approved","11/21/2025","11/20/2025"
"A-0625939","NWL -  Select - Classic  - Documentale CAI","Crédit Agricole Group Solutions S.C.p.A","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Scope","Approved","11/21/2025","10/8/2025"
"A-0629752","NWL - Intesa Sanpaolo SpA - Monitoraggio EUR/USD Real Time - Select - Classic","Intesa Sanpaolo SpA","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","12/22/2026","Q4-2027","Scope","Approved","12/4/2025","11/17/2025"
"A-0633018","Gosp - Generali Operations Service Platform Gosp - Insurance in a box - Renewal - Run Rate - FY27-Q2","Gosp - Generali Operations Service Platform","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","12/19/2025","8/2/2025"
"A-0633019","Gosp - Generali Operations Service Platform Gosp - Insurance in a box - Renewal - Run Rate - FY27-Q3","Gosp - Generali Operations Service Platform","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","12/19/2025","11/2/2025"
"A-0634749","Accenture - Training Poste it.","Accenture S.p.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","3/10/2026","Q1-2027","Closed Lost","Approved","1/7/2026","12/22/2025"
"A-0641684","Terna Rete Italia SpA Nuovi dati del metering UPNR - Renewal - Run Rate - FY27-Q1","Terna - Rete Elettrica Nazionale S.p.A","USD","0.00","EUR","-49323.97","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Rejected","1/30/2026","5/2/2025"
"A-0644045","Avvocatura Dello Stato Migrazione Alfresco - Renewal - Run Rate - FY27-Q4","Avvocatura Dello Stato","USD","0.00","EUR","0.00","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0642774","CNH Industrial spa EDP - Renewal - Run Rate - FY27-Q4","CNH Industrial spa","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0648583","Vodafone Italia Spa App MyVodafone, DXL Atlas Migration - Renewal - Run Rate - FY27-Q4","Vodafone Italia Spa","USD","0.00","EUR","0.00","USD","0.00","EMEA","UK&I I","Accenture S.p.A.","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0644521","Noovle S.p.A. O2C Renewal 2026 - Run Rate - FY27-Q4","Noovle S.p.A.","USD","0.00","USD","0.00","USD","0.00","EMEA","IMEA","Accenture S.p.A.","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
